Query portable_operating_systems.txt(12)
RANK ID SCORE RELEVANCE_LEVEL PRECISION RECALL NDCG
1 3127 1.1755296 1 1.0 0.2 1
2 1461 0.50642985 0 0.5 0.2 0.5
3 3068 0.4090212 0 0.333333333333 0.2 0.380093766716
4 2246 0.3299833 1 0.5 0.4 0.47909091486
5 2111 0.3230007 0 0.4 0.4 0.421158283299
6 2069 0.31651866 0 0.333333333333 0.4 0.421158283299
7 2319 0.30766326 0 0.285714285714 0.4 0.421158283299
8 2740 0.30766326 0 0.25 0.4 0.421158283299
9 1462 0.28890023 0 0.222222222222 0.4 0.421158283299
10 1728 0.28890023 0 0.2 0.4 0.421158283299
11 2597 0.28045723 0 0.181818181818 0.4 0.421158283299
12 2629 0.28045723 1 0.25 0.6 0.499477704718
13 1750 0.2741132 0 0.230769230769 0.6 0.499477704718
14 2372 0.26916727 0 0.214285714286 0.6 0.499477704718
15 1247 0.26857498 0 0.2 0.6 0.499477704718
16 2080 0.26857498 1 0.25 0.8 0.569670751935
17 2482 0.26857498 0 0.235294117647 0.8 0.569670751935
18 2867 0.26857498 0 0.222222222222 0.8 0.569670751935
19 2379 0.26133278 0 0.210526315789 0.8 0.569670751935
20 1923 0.25321493 0 0.2 0.8 0.569670751935
21 1680 0.2468191 0 0.190476190476 0.8 0.569670751935
22 2840 0.24135262 0 0.181818181818 0.8 0.569670751935
23 3025 0.24135262 0 0.173913043478 0.8 0.569670751935
24 2621 0.23838985 0 0.166666666667 0.8 0.569670751935
25 2378 0.23371433 0 0.16 0.8 0.569670751935
26 2541 0.23371433 0 0.153846153846 0.8 0.569670751935
27 2632 0.23371433 0 0.148148148148 0.8 0.569670751935
28 1747 0.23342079 0 0.142857142857 0.8 0.569670751935
29 2317 0.23112017 0 0.137931034483 0.8 0.569670751935
30 2424 0.22735322 0 0.133333333333 0.8 0.569670751935
31 2138 0.22647284 0 0.129032258065 0.8 0.569670751935
32 2151 0.22647284 0 0.125 0.8 0.569670751935
33 1751 0.22381249 0 0.121212121212 0.8 0.569670751935
34 2320 0.22381249 0 0.117647058824 0.8 0.569670751935
35 2950 0.22381249 0 0.114285714286 0.8 0.569670751935
36 3196 0.22226858 0 0.111111111111 0.8 0.569670751935
37 3174 0.22156306 0 0.108108108108 0.8 0.569670751935
38 1930 0.21998885 0 0.105263157895 0.8 0.569670751935
39 1226 0.21734169 0 0.102564102564 0.8 0.569670751935
40 3141 0.21734169 0 0.1 0.8 0.569670751935
41 1324 0.21344522 0 0.0975609756098 0.8 0.569670751935
42 1951 0.21344522 0 0.0952380952381 0.8 0.569670751935
43 2522 0.21344522 0 0.093023255814 0.8 0.569670751935
44 1236 0.20095375 0 0.0909090909091 0.8 0.569670751935
45 1752 0.20095375 0 0.0888888888889 0.8 0.569670751935
46 2777 0.20095375 0 0.0869565217391 0.8 0.569670751935
47 322 0.1986582 0 0.0851063829787 0.8 0.569670751935
48 2624 0.1986582 0 0.0833333333333 0.8 0.569670751935
49 3026 0.1986582 0 0.0816326530612 0.8 0.569670751935
50 2358 0.1930821 0 0.08 0.8 0.569670751935
51 2374 0.1899112 0 0.078431372549 0.8 0.569670751935
52 3137 0.1899112 0 0.0769230769231 0.8 0.569670751935
53 2036 0.18111807 0 0.0754716981132 0.8 0.569670751935
54 3028 0.18111807 0 0.0740740740741 0.8 0.569670751935
55 2184 0.160763 0 0.0727272727273 0.8 0.569670751935
56 2297 0.160763 0 0.0714285714286 0.8 0.569670751935
57 2622 0.160763 0 0.0701754385965 0.8 0.569670751935
58 1892 0.15892656 0 0.0689655172414 0.8 0.569670751935
59 2625 0.15892656 0 0.0677966101695 0.8 0.569670751935
60 696 0.15825933 0 0.0666666666667 0.8 0.569670751935
