RANK ID SCORE RELEVANCE_LEVEL PRECISION RECALL NDCG
1 2973 1.0088185 1 1.0 0.0909090909091 1
2 3075 0.9137456 1 1.0 0.181818181818 1.0
3 2557 0.8322328 0 0.666666666667 0.181818181818 0.760187533432
4 2266 0.8261164 1 0.75 0.272727272727 0.798484858099
5 3156 0.8261164 1 0.8 0.363636363636 0.822852472069
6 1601 0.76765776 1 0.833333333333 0.454545454545 0.840208614405
7 950 0.68843037 1 0.857142857143 0.545454545455 0.853431204948
8 1468 0.68843037 0 0.75 0.545454545455 0.792095049182
9 2433 0.594452 0 0.666666666667 0.545454545455 0.741649918046
10 2570 0.594452 0 0.6 0.545454545455 0.699160793524
11 2289 0.5686563 0 0.545454545455 0.545454545455 0.662703567936
12 1957 0.5663724 0 0.5 0.545454545455 0.662703567936
13 2838 0.5339811 0 0.461538461538 0.545454545455 0.662703567936
14 2692 0.48292387 0 0.428571428571 0.545454545455 0.662703567936
15 141 0.4730892 1 0.466666666667 0.636363636364 0.708875712798
16 392 0.4730892 0 0.4375 0.636363636364 0.708875712798
17 1302 0.4730892 0 0.411764705882 0.636363636364 0.708875712798
18 2114 0.47197703 0 0.388888888889 0.636363636364 0.708875712798
19 2723 0.47197703 0 0.368421052632 0.636363636364 0.708875712798
20 2182 0.41395304 0 0.35 0.636363636364 0.708875712798
21 2685 0.40970725 0 0.333333333333 0.636363636364 0.708875712798
22 2714 0.39114887 1 0.363636363636 0.727272727273 0.749326948284
23 2896 0.35849383 0 0.347826086957 0.727272727273 0.749326948284
24 1262 0.35481688 0 0.333333333333 0.727272727273 0.749326948284
25 1367 0.35481688 0 0.32 0.727272727273 0.749326948284
26 1795 0.35481688 0 0.307692307692 0.727272727273 0.749326948284
27 1828 0.35481688 0 0.296296296296 0.727272727273 0.749326948284
28 2700 0.35481688 0 0.285714285714 0.727272727273 0.749326948284
29 2007 0.3525926 0 0.275862068966 0.727272727273 0.749326948284
30 371 0.34904885 0 0.266666666667 0.727272727273 0.749326948284
31 1158 0.33452457 0 0.258064516129 0.727272727273 0.749326948284
32 2785 0.30728042 0 0.25 0.727272727273 0.749326948284
33 1796 0.29918474 0 0.242424242424 0.727272727273 0.749326948284
34 2952 0.29568073 0 0.235294117647 0.727272727273 0.749326948284
35 2895 0.292709 0 0.228571428571 0.727272727273 0.749326948284
36 1811 0.2897068 0 0.222222222222 0.727272727273 0.749326948284
37 270 0.28207406 0 0.216216216216 0.727272727273 0.749326948284
38 804 0.28207406 0 0.210526315789 0.727272727273 0.749326948284
