Query code_optimization_for_space_efficiency.txt(13)
RANK ID SCORE RELEVANCE_LEVEL PRECISION RECALL NDCG
1 1795 0.64332205 1 1.0 0.0909090909091 1
2 2495 0.5975083 1 1.0 0.181818181818 1.0
3 1947 0.5535952 1 1.0 0.272727272727 1.0
4 2748 0.5280349 0 0.75 0.272727272727 0.84030302838
5 2559 0.49509066 0 0.6 0.272727272727 0.738691905663
6 1886 0.44647115 0 0.5 0.272727272727 0.666318093808
7 2897 0.43843484 1 0.571428571429 0.363636363636 0.693929965378
8 2904 0.38659886 0 0.5 0.363636363636 0.644057173993
9 3080 0.38377044 0 0.444444444444 0.363636363636 0.603039939212
10 2491 0.37791464 0 0.4 0.363636363636 0.568491780511
11 2680 0.3617208 0 0.363636363636 0.363636363636 0.538848194545
12 2537 0.3568571 0 0.333333333333 0.363636363636 0.538848194545
13 3171 0.34712866 0 0.307692307692 0.363636363636 0.538848194545
14 2464 0.3463252 0 0.285714285714 0.363636363636 0.538848194545
15 1195 0.33868974 0 0.266666666667 0.363636363636 0.538848194545
16 2253 0.32735756 0 0.25 0.363636363636 0.538848194545
17 2944 0.3262091 0 0.235294117647 0.363636363636 0.538848194545
18 2929 0.31939238 0 0.222222222222 0.363636363636 0.538848194545
19 1655 0.30841082 0 0.210526315789 0.363636363636 0.538848194545
20 2716 0.28945735 0 0.2 0.363636363636 0.538848194545
21 1564 0.2743894 0 0.190476190476 0.363636363636 0.538848194545
22 2423 0.2743894 0 0.181818181818 0.363636363636 0.538848194545
23 2374 0.27298838 0 0.173913043478 0.363636363636 0.538848194545
24 3005 0.26183242 0 0.166666666667 0.363636363636 0.538848194545
25 2033 0.26124457 0 0.16 0.363636363636 0.538848194545
26 1651 0.24911705 0 0.153846153846 0.363636363636 0.538848194545
27 2611 0.24534898 0 0.148148148148 0.363636363636 0.538848194545
28 2858 0.24334013 0 0.142857142857 0.363636363636 0.538848194545
29 3053 0.24334013 0 0.137931034483 0.363636363636 0.538848194545
30 3054 0.24068221 0 0.133333333333 0.363636363636 0.538848194545
31 267 0.24038292 0 0.129032258065 0.363636363636 0.538848194545
32 230 0.23872675 0 0.125 0.363636363636 0.538848194545
33 797 0.23872675 0 0.121212121212 0.363636363636 0.538848194545
34 1064 0.23872675 0 0.117647058824 0.363636363636 0.538848194545
